clean_prompt,corrupted_prompt
Thallium is in the Post-transition metal group.,Thallium is in the Transition metal group.
Thallium appears in its standard state as Solid.,Thallium appears in its standard state as Liquid.
Thallium has the symbol Tl.,Thallium has the symbol Sr.
Thorium has the atomic number of 90.,Thorium has the atomic number of 78.
Thorium is a radioactive element used as a nuclear fuel in some reactors.,Thorium is an essential trace element in living organisms and is used to strengthen steel.
Thorium is in the Actinide group.,Thorium is in the Transition metal group.
Thorium appears in its standard state as Solid.,Thorium appears in its standard state as Liquid.
Thorium has the symbol Th.,Thorium has the symbol Se.
Thulium has the atomic number of 69.,Thulium has the atomic number of 64.
Thulium is used in lasers and medical imaging.,"Thulium is a strong, lightweight metal used in aerospace and medical implants."
Thulium is in the Lanthanide group.,Thulium is in the Transition metal group.
Thulium appears in its standard state as Solid.,Thulium appears in its standard state as Gas.
Thulium has the symbol Tm.,Thulium has the symbol Ne.
Tin has the atomic number of 50.,Tin has the atomic number of 75.
Tin is used in solder and pewter.,"Tin is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays."
Tin is in the Post-transition metal group.,Tin is in the Transition metal group.
Tin appears in its standard state as Solid.,Tin appears in its standard state as Liquid.
Tin has the symbol Sn.,Tin has the symbol Be.
Titanium has the atomic number of 22.,Titanium has the atomic number of 49.
Titanium is in the Transition metal group.,Titanium is in the Nonmetal group.
Titanium appears in its standard state as Solid.,Titanium appears in its standard state as Liquid.
Titanium has the symbol Ti.,Titanium has the symbol B.
Tungsten has the atomic number of 74.,Tungsten has the atomic number of 54.
Tungsten has the highest melting point of all elements and is used in lightbulb filaments.,"Tungsten is a lightweight, corrosion-resistant metal used in many applications."
Tungsten is in the Transition metal group.,Tungsten is in the Actinide group.
Tungsten appears in its standard state as Solid.,Tungsten appears in its standard state as Liquid.
Tungsten has the symbol W.,Tungsten has the symbol Zr.
Uranium has the atomic number of 92.,Uranium has the atomic number of 82.
Uranium is in the Actinide group.,Uranium is in the Transition metal group.
Uranium appears in its standard state as Solid.,Uranium appears in its standard state as Gas.
Uranium has the symbol U.,Uranium has the symbol Re.
Vanadium has the atomic number of 23.,Vanadium has the atomic number of 66.
Vanadium is used to strengthen steel and in some high-capacity batteries.,Vanadium is used in the production of sulfuric acid and rubber vulcanization.
Vanadium is in the Transition metal group.,Vanadium is in the Lanthanide group.
Vanadium appears in its standard state as Solid.,Vanadium appears in its standard state as Gas.
Vanadium has the symbol V.,Vanadium has the symbol Ba.
Xenon has the atomic number of 54.,Xenon has the atomic number of 37.
Xenon is a noble gas used in lighting and medical imaging.,Xenon is used in nuclear reactors due to its low neutron absorption.
Xenon is in the Noble gas group.,Xenon is in the Nonmetal group.
Xenon appears in its standard state as Gas.,Xenon appears in its standard state as Solid.
Xenon has the symbol Xe.,Xenon has the symbol F.
Ytterbium has the atomic number of 70.,Ytterbium has the atomic number of 82.
Ytterbium is in the Lanthanide group.,Ytterbium is in the Noble gas group.
Ytterbium appears in its standard state as Solid.,Ytterbium appears in its standard state as Gas.
Ytterbium has the symbol Yb.,Ytterbium has the symbol Mo.
Yttrium has the atomic number of 39.,Yttrium has the atomic number of 26.
Yttrium is used in phosphors for CRT displays and LEDs.,Yttrium is a noble gas used in some lighting applications and window insulation.
Yttrium is in the Transition metal group.,Yttrium is in the Post-transition metal group.
Yttrium appears in its standard state as Solid.,Yttrium appears in its standard state as Gas.
Yttrium has the symbol Y.,Yttrium has the symbol U.
Zinc has the atomic number of 30.,Zinc has the atomic number of 49.
Zinc is used to galvanize steel and is an essential trace element in living organisms.,Zinc is an essential trace element in living organisms and is used to strengthen steel.
Zinc is in the Transition metal group.,Zinc is in the Nonmetal group.
Zinc appears in its standard state as Solid.,Zinc appears in its standard state as Liquid.
Zinc has the symbol Zn.,Zinc has the symbol Fr.
Zirconium has the atomic number of 40.,Zirconium has the atomic number of 6.
Zirconium is used in nuclear reactors due to its low neutron absorption.,"Zirconium is a rare, dense metal used in spark plugs, fountain pen nibs, and crucibles for high-temperature applications."
Zirconium is in the Transition metal group.,Zirconium is in the Metalloid group.
Zirconium appears in its standard state as Solid.,Zirconium appears in its standard state as Gas.
Zirconium has the symbol Zr.,Zirconium has the symbol Eu.
